app_name;review_all;sentimen;label_manual
Stockbit;mau verifikasi saja sudah di persulit ya bos;negative;negative
Stockbit;sudah 2 hari eror mulu kalau jam 9sebelum sebelumnya nga pernah eror kalau jam 9tolong segera diperbaiki;negative;negative
IPOT;aplikasi ini luar biasadan sangat membantu;positive;positive
Ajaib;lumayan ngebantu sih untuk yang sedang belajar kaya saya;positive;positive
Stockbit;sering error saat pembukan jm9;negative;negative
Ajaib;cashback emas jadi bonus terbaik untuk setiap transaksi di ajaib saham;positive;positive
IPOT;ngebantu banget pokoknya;negative;positive
Stockbit;sangat recomendasi buat trader retail prosesnya cepat tidak ribet juga;positive;positive
Ajaib;aplikasi sangat di rekomendasi kan buat pemula wajib download sih ini simple juga buat mempelajari seperti trading saham saham cuan dan lainnya sangat keren;positive;positive
Ajaib;aplikasi ini sangat bagus untuk pemula seperti aku yang mau belajar investasi deposit dan withdraw juga cepet;positive;positive
Stockbit;wd nya keterlaluan banget prosesnya terlalu lama;negative;negative
IPOT;tolong perbaiki fungsional dari search tidak bisa mengetik tolong perbaiki;neutral;neutral
Stockbit;aplikasi kureng banget dikit relog mulu update la uda meresakan banget mau belijual jadi hilang moment nya;negative;negative
IPOT;ipot memang aplikasi bagus dan terpecaya;positive;positive
Stockbit;menjelang jam buka bursa sering error;negative;negative
Stockbit;kenapa kode verifikasi tidak keluar dan waktu live chat tidam dapat mengirim pesan;neutral;neutral
Ajaib;nyoba malah verifikasi diri tidak selesai sampai seminggu parah;negative;negative
Stockbit;eror dah dua hari berturut turut;neutral;negative
IPOT;hampir 14 tahun mengunakan app sekuritas indopremier tiap berjalanan nya waktu terus melakukan perbaikan;neutral;neutral
Stockbit;bagus cuma registrasi akun reel nya saja yang agak lama mohon di perbaiki terimakasih;negative;neutral
Ajaib;pas wkt krusial mau beli saham prog nya malah error dah bbrp x spt itu tidak layak di pakai app ini bisa cepat boncos;negative;negative
Stockbit;sotcbit eror setiap pagi kehilangan momentum saat mau jualan karena aplikasi error mending jangan pake aplikasi ini saya rugi pake aplikasi ini pindah ke ajaib ajah;negative;negative
Stockbit;bikin akun sudah 1minggu lebih ngga verif verif teman saya yang baru 1 hari malah sudah selesai chat cs stock bit kebanyakan minta maaf tapi gada aksi dan tindakan kecewa dengan pelayanan stock bit sekarang jadi jangan heran klo pada banyak yang pindah ke kompetitor seperti ajaib dll;negative;negative
Ajaib;aplikasi ajaib saham bikin dunia investasi jadi gampang dipahami apalagi buat pemula sepertiku;positive;positive
Stockbit;aplikasi sering error di awal jam bursa;negative;negative
Ajaib;ok;negative;neutral
IPOT;ipot jadi aplikasi pertama saya berinvestasi sejak 2023 dan sejauh ini sangat memuaskan fitur lengkap dari saham hingga reksa dana cocok untuk pemula maupun investor aktif menurut saya kendala saat penarikan dana kadang cukup lama akan lebih baik jika bisa realtime keamanan juga bisa ditingkatkan lewat verifikasi dua langkah dan login biometrik agar lebih aman semoga terus ditingkatkan dan makin inovatif;positive;positive
Ajaib;tolong min bantu perbaiki stoploss masak saya sudah 5x pasang stoploss tidak kejual malah arb parah padahal dulu amanaman saja;negative;negative
Stockbit;mantep;negative;positive
Ajaib;jual saham sebelum pukul 1200 sudah 2 hari dana belum masuk ke rekening rdn beda jauh dengan aplikasi sebelah;neutral;negative
Stockbit;giliran urgent saja malah error syalan;negative;negative
Ajaib;‎saya lebih semangat nabung saham karena dapat cashback emas di ajaib;positive;neutral
IPOT;bagus keren terpercaya memang harus besar saldonya;positive;positive
IPOT;sering lambat buka halaman porto malah ngerror untuk beberapa saat ini merugikan bagi yang butuh jual cepet kanang ngefreeze kadang error saat withdraw;negative;negative
IPOT;ok baik;negative;neutral
Stockbit;great;positive;positive
Ajaib;pelaporan saham yang terjual tidak bisa memuaskan;negative;negative
IPOT;saya pake ipot dari 2020 dan masih saya gunain untuk investasi sampe sekarang;positive;positive
Ajaib;oke banget aplikasi nya cocok buat orang yang mau belajar trading karena banyak sekali pilihan nya;positive;positive
Stockbit;ini gimanaa rugiii pagii pagii udahh error halahh busukk bangett porto tidak bisa di buka gimana mau jualbeli kocak nih kebanyakan update kayaa bakalan ada tanggung jawab ajaa kehilangan uang;negative;negative
IPOT;bagus apk nya;positive;positive
IPOT;aplikasi ipot baru lengkap dengan semua fitur kebutuhan nasabah;neutral;positive
Stockbit;bagus lengkap;positive;positive
Ajaib;ini najis banget deposit sama penarikan lama banget;negative;negative
IPOT;ipot benarbenar aplikasi invest yang terbaik aplikasi terbaik dari semua aplikasi invest;positive;positive
Stockbit;aplikasi sering eror;negative;negative
Ajaib;mau jual lot saham nyangkut padahal lagi profit alhasil jadi tidak profit lagi membuat porto jadi merah sudah nyoba narik profit berkali kali tetap gagal engga 1 sampai 2 jam saja ini sampai 1 minggu yang bikin porto beneran merah walau tadinya sudah ijo haduh tolong diperbaiki;negative;negative
Ajaib;gila sih ini ajaib saham lagi bagibagi saham emas rp100k cuma karena daftar doang langsung cus daftar biar tidak nyesel;positive;positive
IPOT;saya sudah mencoba treding menggunakan ipot ternyata mudah allhamdullillah sudah cuan saudara setelah saya kasi tau tertarik dan membuka akun di ipot juga semoga ke depan indopremier memberikan aplikasi yang baik bagi nasabah trimakasih indopremier semoga tambah mantab jaya;positive;positive
Ajaib;tarik rdn sering error prosesnya lama banget bisa sampe 27hari klo deposit ngga ada jangka waktu proses sudah selesai tolong diperbaiki kinerja apk nya min;negative;negative
